name,description,category,unit_price,stock_quantity
Ergonomic Office Chair,High-back mesh office chair with lumbar support,Furniture,299.99,50
Standing Desk Converter,Adjustable height standing desk converter 36-inch,Furniture,199.99,75
Wireless Mechanical Keyboard,RGB backlit wireless mechanical keyboard with Cherry MX switches,Electronics,149.99,120
4K Monitor 27-inch,27-inch IPS 4K UHD monitor with USB-C connectivity,Electronics,499.99,30
USB-C Hub 7-in-1,Multi-port USB-C hub with HDMI 4K output,Electronics,34.99,200
Noise Cancelling Headphones,Over-ear Bluetooth headphones with active noise cancellation,Electronics,249.99,45
Ergonomic Mouse,Vertical wireless ergonomic mouse with adjustable DPI,Electronics,59.99,150
Laptop Stand,Aluminum adjustable laptop stand with ventilated design,Furniture,39.99,180
Desk LED Lamp,LED desk lamp with adjustable brightness and color temperature,Lighting,45.99,90
Webcam 1080p,Full HD 1080p webcam with built-in microphone,Electronics,69.99,65
Mechanical Pencil Set,Set of 5 premium mechanical pencils 0.5mm and 0.7mm,Stationery,14.99,300
Notebook A5 Pack,Pack of 10 A5 dotted notebooks with hardcover,Stationery,29.99,250
Coffee Mug 12oz,12oz ceramic coffee mug with minimal design,Kitchen,9.99,400
Water Bottle 750ml,Insulated stainless steel water bottle 750ml,Kitchen,22.99,200
Desk Organizer,Bamboo desk organizer with multiple compartments,Stationery,34.99,120
Monitor Arm,Heavy-duty gas spring monitor arm for dual monitors,Furniture,129.99,40
Smart LED Bulb,WiFi-enabled smart LED bulb compatible with Alexa,Lighting,19.99,300
Wireless Charger,15W fast wireless charging pad for phones,Electronics,25.99,250
Cable Management Box,Large cable management box for desk,Stationery,29.99,150
Foot Rest,Adjustable ergonomic foot rest for office,Furniture,49.99,100
