customer_id,product_id,quantity,unit_price,total_amount,purchase_date,payment_method
1,1,1,299.99,299.99,2024-01-15 10:30:00+00,credit_card
1,3,1,149.99,149.99,2024-01-15 10:30:00+00,credit_card
1,5,2,34.99,69.98,2024-02-20 14:15:00+00,paypal
2,2,1,199.99,199.99,2024-01-22 09:00:00+00,credit_card
2,4,1,499.99,499.99,2024-01-22 09:00:00+00,credit_card
2,8,1,39.99,39.99,2024-03-05 11:45:00+00,debit_card
3,6,1,249.99,249.99,2024-02-01 16:00:00+00,credit_card
3,10,1,69.99,69.99,2024-02-01 16:00:00+00,credit_card
3,15,2,34.99,69.98,2024-04-10 08:30:00+00,paypal
4,1,1,299.99,299.99,2024-02-14 13:20:00+00,credit_card
4,7,1,59.99,59.99,2024-02-14 13:20:00+00,credit_card
4,13,4,9.99,39.96,2024-05-18 10:10:00+00,debit_card
5,3,1,149.99,149.99,2024-03-01 15:00:00+00,paypal
5,9,1,45.99,45.99,2024-03-01 15:00:00+00,paypal
5,14,1,22.99,22.99,2024-06-22 12:00:00+00,credit_card
6,5,3,34.99,104.97,2024-03-10 10:00:00+00,credit_card
6,11,2,14.99,29.98,2024-03-10 10:00:00+00,credit_card
6,19,1,29.99,29.99,2024-07-01 14:30:00+00,paypal
7,2,1,199.99,199.99,2024-03-20 09:30:00+00,debit_card
7,4,1,499.99,499.99,2024-03-20 09:30:00+00,debit_card
7,16,1,129.99,129.99,2024-08-05 16:45:00+00,credit_card
8,6,1,249.99,249.99,2024-04-05 11:00:00+00,credit_card
8,12,3,29.99,89.97,2024-04-05 11:00:00+00,credit_card
8,17,2,19.99,39.98,2024-09-12 09:15:00+00,paypal
9,1,1,299.99,299.99,2024-04-18 14:00:00+00,credit_card
9,8,2,39.99,79.98,2024-04-18 14:00:00+00,credit_card
9,20,1,49.99,49.99,2024-10-01 10:00:00+00,debit_card
10,3,1,149.99,149.99,2024-05-01 08:00:00+00,paypal
10,7,1,59.99,59.99,2024-05-01 08:00:00+00,paypal
10,18,1,25.99,25.99,2024-11-15 13:30:00+00,credit_card
11,4,1,499.99,499.99,2024-05-15 16:30:00+00,credit_card
11,5,2,34.99,69.98,2024-05-15 16:30:00+00,credit_card
11,9,1,45.99,45.99,2024-12-01 11:00:00+00,credit_card
12,2,1,199.99,199.99,2024-06-01 12:00:00+00,debit_card
12,10,1,69.99,69.99,2024-06-01 12:00:00+00,debit_card
12,14,2,22.99,45.98,2024-12-20 15:00:00+00,paypal
13,6,1,249.99,249.99,2024-06-15 10:00:00+00,credit_card
13,11,3,14.99,44.97,2024-06-15 10:00:00+00,credit_card
14,1,1,299.99,299.99,2024-07-01 09:30:00+00,paypal
14,3,1,149.99,149.99,2024-07-01 09:30:00+00,paypal
14,15,1,34.99,34.99,2025-01-05 10:00:00+00,credit_card
15,4,1,499.99,499.99,2024-07-20 14:00:00+00,credit_card
15,7,1,59.99,59.99,2024-07-20 14:00:00+00,credit_card
15,18,1,25.99,25.99,2025-02-10 16:00:00+00,debit_card
1,6,1,249.99,249.99,2025-01-10 11:00:00+00,credit_card
2,11,2,14.99,29.98,2025-01-25 15:30:00+00,paypal
3,20,1,49.99,49.99,2025-02-01 08:00:00+00,credit_card
4,14,1,22.99,22.99,2025-02-15 12:00:00+00,debit_card
5,16,1,129.99,129.99,2025-03-01 10:00:00+00,paypal
