customer_id,product_id,rating,review_text,rating_date
1,1,5,"Excellent chair, very comfortable for long work hours!",2024-01-20 10:00:00+00
1,3,4,"Great keyboard but battery life could be better.",2024-01-22 14:00:00+00
1,5,5,"Perfect USB hub, works flawlessly with my laptop.",2024-02-25 09:00:00+00
2,2,4,"Good converter, sturdy build. Does the job well.",2024-01-28 11:00:00+00
2,4,5,"Amazing monitor, colors are incredibly vibrant!",2024-02-01 16:00:00+00
3,6,5,"Best noise cancelling headphones I've ever owned!",2024-02-10 15:00:00+00
3,10,3,"Decent webcam for the price, average quality.",2024-02-05 10:00:00+00
4,1,4,"Nice chair but assembly took longer than expected.",2024-02-20 13:00:00+00
4,7,5,"Very comfortable mouse, helped with my wrist pain.",2024-02-18 09:00:00+00
5,3,5,"Love this keyboard, the RGB is beautiful!",2024-03-05 12:00:00+00
5,9,4,"Good lamp, like the adjustable color temperature.",2024-03-08 14:00:00+00
6,5,4,"Handy hub, use it daily. One port stopped working after 3 months.",2024-03-15 10:00:00+00
7,2,5,"Perfect standing desk solution for my small apartment.",2024-03-25 16:00:00+00
7,4,5,"Upgraded to dual monitors with this, incredible setup!",2024-03-28 11:00:00+00
8,6,4,"Good headphones, comfortable for long sessions.",2024-04-10 09:00:00+00
8,12,5,"Love these notebooks, paper quality is excellent!",2024-04-08 14:00:00+00
9,1,3,"Decent chair for the price, but back support could be better.",2024-04-22 10:00:00+00
10,3,4,"Solid mechanical keyboard, great for typing.",2024-05-05 15:00:00+00
10,7,4,"Good mouse, battery lasts a long time.",2024-05-08 11:00:00+00
11,4,5,"Best monitor for professional work, highly recommend!",2024-05-20 12:00:00+00
12,2,4,"Does what it says, stable and easy to adjust.",2024-06-05 10:00:00+00
13,6,5,"These headphones are a game changer for focus!",2024-06-20 16:00:00+00
14,1,5,"Best purchase this year, my back thanks me!",2024-07-05 09:00:00+00
14,3,4,"Good keyboard, but noisy for an open office.",2024-07-08 14:00:00+00
15,4,5,"Incredible monitor, worth every penny!",2024-07-25 11:00:00+00
